,conduct,age,gender,nationality,pob,tutor/makeup,grade,admission,guardian,time_with_parents,communication_with_parents,reward_for_achievements,parent_understanding,transport_type,residence,travel time,birth_order,exercice,previous_school,mother_tongue,curriculum,sleeping time_in_pm,parenting_style,trauma,type,quality,english,amharic,arabic,geez,ict,maths,ss,gp,is,moral,hpe,art,chemistry,physics,gpa,literature,biology,geography,history,civics,ent-ship,matrik,level
0,a,10.0,f,ethiopian,ethiopia,yes,5,paid,both,a lot,strongly agree,strongly agree,agree,private,ayertena,15-30,middle child,2.0,diamond,eth-lang,yes,8.0,authoritative,0.0,none,4.25,94.86,94.58,88.45,84.41,88.52,76.38,85.93,95.0,82.01,98.28,95.48,89.0,,,89.4,,,,,,,,middleschool
1,b,12.0,m,ethiopian,ethiopia,no,5,scholarship,both,little,strongly agree,strongly agree,agree,public,haile garment,15-30,first child,0.0,southwest,eth-lang,yes,10.0,authoritative,0.0,none,4.0,74.12,77.39,81.86,80.98,76.9,74.92,70.32,94.75,74.16,89.84,96.15,91.75,,,81.9,,,,,,,,middleschool
2,a,10.0,m,ethiopian,ethiopia,yes,5,paid,both,a lot,agree,strongly agree,strongly agree,private,sarbet,15-,last child,3.0,greek school,eth-lang,yes,9.0,authoritative,1.0,physical,4.25,80.12,86.58,95.04,74.69,95.52,84.33,81.42,93.75,85.45,91.61,94.39,91.75,,,87.9,,,,,,,,middleschool
3,c,11.0,m,ethiopian,ethiopia,no,5,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,gulele,15-30,last child,2.0,gibson,eth-lang,no,8.0,authoritative,0.0,none,4.5,82.67,91.68,89.64,86.7,87.81,90.63,81.14,82.5,80.86,81.91,93.89,81.0,,,85.9,,,,,,,,middleschool
4,b,11.0,f,ethiopian,foriegn_soil,no,5,paid,mother,a lot,strongly agree,strongly agree,somehow agree,private,meskel flower,15-30,middle child,2.0,school of nations,for-lang,yes,11.5,authoritative,0.0,none,4.0,96.31,96.99,97.6,92.09,98.62,96.0,89.07,99.75,94.73,98.77,88.69,97.75,,,95.5,,,,,,,,middleschool
5,a,11.0,f,ethiopian,ethiopia,no,5,paid,both,a lot,strongly agree,strongly agree,somehow agree,private,torhailoch,15-30,middle child,3.0,neps,eth-lang,yes,9.0,authoritative,0.0,none,4.0,75.35,91.35,92.86,98.0,88.45,75.63,81.39,95.25,83.93,87.67,93.54,98.75,,,88.5,,,,,,,,middleschool
6,a,11.0,f,ethiopian,foriegn_soil,yes,5,paid,mother,a lot,strongly agree,strongly agree,strongly agree,private,kality,30-60,middle child,3.0,potomac,for-lang,yes,10.0,authoritative,0.0,none,4.5,77.81,90.75,84.31,93.67,85.14,77.25,82.17,98.0,62.62,97.97,93.36,99.5,,,86.9,,,,,,,,middleschool
7,a,11.0,f,ethiopian,ethiopia,yes,5,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,german square,15-30,middle child,3.0,neps,eth-lang,yes,7.0,authoritative,0.0,none,4.5,73.27,96.32,99.43,98.0,92.0,84.88,85.45,96.5,94.13,98.21,99.14,96.0,,,92.8,,,,,,,,middleschool
8,b,10.0,m,ethiopian,ethiopia,no,5,paid,both,little,strongly agree,somehow agree,disagree,service,bethel,30-60,middle child,2.0,neps,eth-lang,no,8.0,permissive,1.0,physcological,3.0,63.12,84.57,87.31,72.93,71.11,63.29,54.71,82.75,38.07,72.91,86.79,88.25,,,72.2,,,,,,,,middleschool
9,a,11.0,f,ethiopian,ethiopia,yes,5,paid,both,a lot,agree,strongly agree,strongly agree,private,gerji,30-60,first child,2.0,cambridge,eth-lang,yes,8.0,authoritative,0.0,none,4.25,70.98,93.89,95.23,85.43,89.75,64.96,80.09,98.0,76.24,93.21,80.37,93.25,,,85.1,,,,,,,,middleschool
10,b,11.0,m,ethiopian,foriegn_soil,yes,5,paid,both,little,disagree,somehow agree,disagree,private,sarbet,30-60,last child,3.0,spring of knowledge,for-lang,yes,10.0,permissive,0.0,none,2.25,79.27,78.74,98.8,80.82,91.47,70.58,70.3,94.25,76.27,88.19,85.64,82.25,,,83.0,,,,,,,,middleschool
11,a,12.0,m,ethiopian,foriegn_soil,no,5,paid,mother,a lot,agree,agree,disagree,private,meskel flower,15-30,first child,3.0,school of nations,for-lang,yes,5.0,authoritarian,0.0,none,3.25,92.03,96.76,94.29,76.88,99.08,92.63,92.13,99.0,96.83,95.97,91.93,94.0,,,93.5,,,,,,,,middleschool
12,b,11.0,m,ethiopian,foriegn_soil,no,5,paid,both,a lot,strongly agree,agree,strongly agree,service,torhailoch,30-60,middle child,1.0,forest trail,eth-lang,yes,8.5,authoritative,0.0,none,4.25,82.1,91.39,80.75,74.5,94.11,76.0,75.31,93.75,71.6,88.0,91.08,88.75,,,83.9,,,,,,,,middleschool
13,a,12.0,m,ethiopian,foriegn_soil,no,5,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,private,jemo,15-,last child,2.0,neps,for-lang,yes,11.5,authoritative,0.0,none,4.5,96.57,86.41,89.41,74.31,89.16,84.25,75.5,96.25,77.43,96.41,99.32,99.5,,,88.7,,,,,,,,middleschool
14,a,10.0,f,ethiopian,ethiopia,yes,5,paid,both,a lot,agree,strongly agree,somehow agree,private,sarbet,15-30,last child,2.0,intellectual,eth-lang,yes,8.0,authoritative,1.0,physical,3.75,78.41,91.54,91.94,85.54,83.16,85.25,86.8,98.0,90.53,91.06,97.14,98.25,,,89.8,,,,,,,,middleschool
15,a,10.0,f,ethiopian,ethiopia,no,5,paid,both,a lot,strongly agree,strongly agree,agree,private,bethel,15-30,last child,2.0,renence,eth-lang,no,10.0,authoritative,0.0,none,4.25,71.84,98.06,95.34,109.01,98.15,85.88,83.29,97.25,81.62,93.35,98.39,98.25,,,92.5,,,,,,,,middleschool
16,a,11.0,f,ethiopian,ethiopia,no,5,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,lebu,30-60,first child,3.0,spring of knowledge,eth-lang,yes,11.5,authoritative,0.0,none,4.5,98.29,98.49,95.34,100.0,99.35,86.88,93.75,98.5,94.61,93.53,96.54,98.5,,,96.1,,,,,,,,middleschool
17,a,10.0,m,ethiopian,foriegn_soil,yes,5,paid,mother,little,somehow agree,strongly agree,somehow agree,private,kolfe,15-30,middle child,3.0,st francis,for-lang,yes,11.0,authoritative,1.0,emotional,3.25,99.14,93.5,99.43,88.17,97.61,94.5,93.64,98.25,94.63,104.15,93.21,97.5,,,96.1,,,,,,,,middleschool
18,a,10.0,f,ethiopian,ethiopia,yes,5,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,torhailoch,15-,first child,3.0,rice,eth-lang,yes,12.0,authoritative,0.0,none,4.5,90.31,95.65,94.03,88.17,93.66,80.83,92.16,98.25,85.45,99.08,92.48,96.0,,,92.2,,,,,,,,middleschool
19,a,11.0,m,ethiopian,ethiopia,no,5,scholarship,both,little,strongly agree,agree,agree,service,atena tera,60+,middle child,3.0,hilltops,eth-lang,no,7.0,authoritarian,0.0,none,3.75,76.38,88.78,84.86,72.44,85.84,68.42,67.77,98.0,77.37,98.2,95.36,97.0,,,84.2,,,,,,,,middleschool
20,a,10.0,f,ethiopian,ethiopia,yes,5,paid,both,a lot,somehow agree,agree,somehow agree,private,jemo,15-30,last child,3.0,gibson,eth-lang,no,11.0,authoritative,0.0,none,3.25,91.43,96.55,100.0,96.67,97.38,90.0,85.26,95.75,89.14,97.39,84.21,99.0,,,93.6,,,,,,,,middleschool
21,c,11.0,f,ethiopian,foriegn_soil,yes,5,paid,mother,a lot,agree,strongly agree,disagree,private,bole,15-30,last child,2.0,spring of knowledge,for-lang,yes,12.0,authoritative,1.0,emotional,3.5,83.8,97.0,76.1,81.33,88.06,81.5,78.22,91.75,80.13,96.79,84.94,94.25,,,86.2,,,,,,,,middleschool
22,b,12.0,m,american,foriegn_soil,yes,6,paid,mother,a lot,agree,strongly agree,agree,private,sefera,15-,last child,3.0,intellectual,for-lang,no,11.0,permissive,0.0,none,4.0,75.94,70.67,85.0,69.68,73.1,72.08,59.36,93.5,67.44,88.14,94.57,96.75,,,78.9,,,,,,,,middleschool
23,b,12.0,m,ethiopian,ethiopia,no,6,paid,both,little,strongly disagree,disagree,agree,private,bethel,15-30,last child,2.0,school of nations,eth-lang,no,7.0,authoritative,0.0,none,2.25,62.39,77.2,95.37,78.07,70.85,74.0,70.77,89.75,53.38,70.33,91.14,96.58,,,77.5,,,,,,,,middleschool
24,b,12.0,m,ethiopian,ethiopia,no,6,paid,both,a lot,somehow agree,somehow agree,disagree,private,kolfe,15-,middle child,2.0,hilltops,eth-lang,no,9.0,authoritative,1.0,none,2.75,78.34,86.49,83.2,94.42,79.72,85.0,79.8,97.25,77.11,78.88,94.57,95.67,,,85.9,,,,,,,,middleschool
25,a,11.5,f,american,ethiopia,yes,6,paid,both,a lot,agree,agree,somehow agree,private,sululta,60+,first child,1.0,apillo,for-lang,yes,8.0,authoritarian,0.0,none,3.5,87.99,92.74,91.11,90.61,91.7,86.67,85.08,100.0,82.21,93.76,95.57,98.33,,,91.3,,,,,,,,middleschool
